speaker,q&a,content
Company Participants,0,"Mike Magaro - Vice President of Investor Relations
Aneel Bhusri - Co-Founder, Chief Executive Officer
Robynne Sisco - Co-President, Chief Financial Officer
Tom Bogan - EVP, Planning Business Unit
Chano Fernandez - Co-President"
Conference Call Participants,0,"Kash Rangan - Bank of America
Brent Bracelin - KeyBanc
Mark Murphy - JPMorgan
Sanjit Singh - Morgan Stanley
Justin Furby - William Blair & Company
Mark Moerdler - Sanford Bernstein
Samad Samana - Jefferies
Alex Zukin - Piper Jaffray
Heather Bellini - Goldman Sachs
Derrick Wood - Cowen & Co.
Brian Schwartz - Oppenheimer
Scott Berg - Needham
Raimo Lenschow - Barclays
Brad Reback - Stifel"
Operator,0,"Welcome to Workday's first quarter fiscal year 2020 earnings call. At this time, all participants are in a listen-only mode. We will conduct a question-and-answer session towards the end of the call.
And with that, I will hand it over to Mike Magaro, Vice President of Investor Relations."
Mike Magaro,0,"Welcome to Workday's first quarter fiscal 2020 earnings conference call. On the call, we have Aneel Bhusri, our CEO, Robynne Sisco, our Co-President and CFO, Chano Fernandez, our Co-President and Tom Bogan, Executive Vice President of the Business Planning Unit. Following Aneel and Robynne's prepared remarks, we will take questions. Our press release was issued after the close of market and is posted on our website where this call is being simultaneously webcast.
Statements made on this call include forward-looking statements regarding our financial results, applications, customer demand, operations and other matters. These statements are subject to risks, uncertainties and assumptions. Please refer to the press release and the risk factors and documents we file with the Securities and Exchange Commission, including our most recent annual report on Form 10-K, for information on risks, uncertainties and assumptions that may cause actual results to differ materially from those set forth in such statements.
In addition, during today's call, we will discuss non-GAAP financial measures, which we believe are useful as supplemental measures of Workday's performance. These non-GAAP measures should be considered in addition to and not as a substitute for or in isolation
[AUDIO GAP]
…Investor Relations page of our website. The webcast replay of this call will be available for the next 90 days on our company website under the Investor Relations link. Also, the Customers page of our website includes a list of selected customers and is updated monthly.
Our second quarter quiet period begins on July 15, 2019. Unless otherwise stated, all financial comparisons in this call will be to our results for the comparable period of our fiscal 2019.
With that, let me hand it over to Aneel."
Aneel Bhusri,0,"Thank you Michael. I would first like to thank everyone for joining our Q1 2020 earnings call. I am pleased to report that our first quarter fiscal year 2020 got us off to a great start for the year. We continue to attract new customers and many of our current customers are growing their investments with us. Our customer satisfaction rating remains amongst the highest in enterprise software and the success of our customers is a cornerstone of our long term business strategy.
Let's start with some of the highlights from Q1, beginning with Workday HCM. Momentum for this application suite remains strong as organizations continue their transitions to the cloud. In Q1, we added Carl Zeiss AG, Cisco Systems, Daimler Trucks North America, Old Mutual Limited and Procter & Gamble among the many new HCM customers in the quarter. Our proven ability to support our customer's large volumes of data and transactions continues to be a big differentiator in our success. Notable go-lives in Q1 included Enterprise Holdings and Tyson Shared services.
Turning to Workday financial management. We saw continued momentum in Q1 with over 50% customer in net new ACV growth. New customers included Advocate Aurora Health System and E-Trade Financial Corporation. In addition, during the quarter, many existing customers expanded their relationship with Workday. Legg Mason, for example, a leading investment management firm, expanded their use of Workday financial management to include all of their affiliates. Lastly, we also had a large Fortune 500 scale insurance company add financial management to become a full platform customer. As always, getting customers live and on budget is core to our business.
Amongst the many go-lives of Q1 for financials, I would like to highlight Sprouts Farmers Market and NASDAQ. Q1 was also our third quarter with the Adaptive Insights business planning cloud and customer demand continues to reinforce our confidence in the long term opportunity. We added approximately 150 standalone Adaptive deals and once again saw success selling it to the large enterprise market with approximately 50 deals representing both platform sales and planning add-ons. New customer selecting Adaptive Insights business planning cloud in Q1 included Advocate Aurora Health System, Airbus, AstraZeneca, AutoZone Parts, H&R Block and the Ohio State University.
We are pleased that our customer and product momentum continues to get recognized by leading industry analysts. This month, Gartner published its 2019 Magic Quadrant for Cloud Core Financial Management Suites for Midsize, Large and Global Enterprises and Gartner named Workday as a leader for the third year in a row. Also in Q1, I am pleased to announce that we moved all customers to Workday 32. With this update, we delivered more than 500 new features, including deeper investments in Workday Learning and Workday Recruiting, finance-focused machine learning capabilities to help resource managers align skills resources to projects and deeper integration between Workday and Adaptive Insights. Indeed, we are well on our way for a goal of bringing Adaptive Insights full into the power of one.
And last but not least for Q1, we are pleased to share that we were once again ranked number one on San Francisco Business Times' Best Places to Work in the Bay Area list. This is the seventh time Workday has been ranked number one on the list. Workday also ranked number one on the UK's Best Large Workplaces list by Great Place to Work Institute. All-in-all, this quarter was a strong start to our fiscal year.
I will now turn it over to our Co-President and CFO, Robynne Sisco. Over to you, Robynne."
Robynne Sisco,0,"Thanks Aneel and good afternoon everyone. As Aneel mentioned, we continue to execute well against our long term market opportunity, differentiating ourselves through our technology and our uniquely purposed customer success model.
We are very pleased with our first quarter results, delivering total revenue of $825 million, reflecting year-over-year growth of 33%. Our subscription revenue was $701 million, up 34% and professional services revenue came in at $124 million, up 29%. We continue to see our long term opportunity expanding outside of the U.S. with revenue up 42% to $197 million.
Our non-U.S. revenue now represents a record 24% of total revenue. Subscription revenue backlog was $6.8 billion, growth of 30% year-over-year driven by strong performance across net new bookings, add-on business and renewals with net retention once again over 100%. Subscription revenue backlog that will be recognized within the next 24 months was $4.56 billion, growth of 29%.
Our non-GAAP operating income for the first quarter was $108 million, resulting in a non-GAAP operating margin of 13.1%. Operating cash flow in Q1 was $209 million. Current unearned revenue was $1.73 billion in Q1, up 31% year-over-year while total unearned revenue grew 29% to $1.83 billion.
We continue to invest in our people and in attracting top talent to Workday. During Q1, we successfully added and integrated approximately 400 net new employees, bringing our total workforce at the end of the quarter to almost 11,000. Operationally, it was another strong quarter of execution in Q1. We are extremely pleased with our results and have gotten off to a great start for fiscal 2020.
I will now turn to guidance. Our focus remains centered on driving strong durable growth and we will continue to invest in our products and other areas of the business to support our long term growth aspirations. Based on our over-performance in Q1, but keeping in mind we face a very difficult second half comps from last year, we are raising our fiscal 2020 outlook and providing Q2 guidance as follows.
For subscription revenue, we are raising our full year estimate to be in the range of $3.045 billion to $3.06 billion. We expect our Q2 subscription revenue to be $746 million to $748 million or 32% growth, with sequential improvement in Q3 and Q4 of approximately 4.7% and 5.7% respectively. Similar to last year, this pattern reflects our increasing seasonal trends towards larger Q4s. We still expect professional services revenue to be $500 million in fiscal 2020 as we continue to prioritize driving the highest levels of customer success. For Q2, we expect services revenue of $124 million.
For non-GAAP operating margins, we estimate Q2 to be 10% and we still anticipate 12.3% margins for the full year as we remain committed to 200 basis point of margin expansion even as we continue to aggressively invest for continued growth. The sequential decline in the non-GAAP operating margin from Q1 reflects typical seasonality and is primarily a result of our annual employee compensation cycle, which took effect at the beginning of Q2. The GAAP operating margin is expected to be lower than the non-GAAP margin by approximately 27 percentage points in each remaining quarter and for the full year.
We still expect subscription revenue backlog to follow the pattern we laid out in our Q4 call with high-20s growth in the first half and low-20s growth in the second half. We continue to see a healthy pace of cloud migrations across HR and finance but as we look at the full year we are seeing more opportunities move into the back part of the year, specifically shifting into Q4. There is no change to our operating cash flow guidance in FY 2020 of approximately $790 million or 30% growth. As a reminder, Q2 traditionally generates limited operating cash flows. This is due to the combination of seasonally low collections and the seasonally high sequential increase in expenses resulting from our annual employee compensation cycle.
We are excited to have recently begun occupying our new Pleasanton development center, which will house more than 2,200 employees and also be home to our new customer center. We continue to expect the FY 2020 capital outlay for our owned real estate projects will be approximately $130 million, of which $94 million relates specifically to the development center. There is no change to our fiscal 2020 plans of $280 million for other capital investments to support customer growth and continued business expansion.
And finally, I will close by thanking our amazing customers, partners and employees for their continued support and hard work. We are still in early stages of executing against our long term vision as a company, but our progress wouldn't be possible without a shared goal. We are off to a great start for FY 2020 and look forward to updating you on our progress throughout the year.
Operator, let's begin the Q&A process."
Operator,1,[Operator Instructions]. Our first question comes from the line of Kash Rangan from Bank of America. Please ask your question.
Kash Rangan,1,"Hi. Congratulations on a spectacular start to the fiscal year. One question for Robynne. If you look at the deferred revenues, I know that you don't guide to deferred revenues and billings. They are not exactly representative of the strength of the business. But nonetheless, I just wanted to understand if there were certain factors that might have driven better, much better than the typical seasonality we have seen in deferred revenues? And one for you Aneel, you mentioned 50 platform deals with Adaptive. Are these fairly large corporations? Or as the next few years unfold for the company, how do you see planning playing out alongside financials? Does one synergize the other? And just wanted to get your broader thoughts on the adoption of planning and financials. Thank you. Congratulations."
Aneel Bhusri,1,"Well, I will take that and thanks Kash. I will take the second part first. One of the traction we saw with Adaptive in the suite market was in large companies. And I mentioned, several of them, they were either add-ons or a part of platform deals. AstraZeneca, Airbus and H&R Block, these are big organizations that are embracing the Adaptive business planning cloud.
I don't know, Tom, if you want to add anything?"
Tom Bogan,1,"Yes. I think that's right, Aneel. And from our perspective, we have seen a lot more traction with the larger companies working with the broader Workday sales team. And as we know, those are longer sales cycles, but the early traction with those customers is very encouraging."
